[1] [21/167] time: 0:06:27.955377, [d_loss: 0.351125, g_loss: 1.597368]
[1] [22/167] time: 0:06:29.530484, [d_loss: 0.324917, g_loss: 1.743161]
[1] [23/167] time: 0:06:31.121054, [d_loss: 0.380057, g_loss: 1.601924]
[1] [24/167] time: 0:06:32.687512, [d_loss: 0.348349, g_loss: 1.617453]
[1] [25/167] time: 0:06:34.294735, [d_loss: 0.374825, g_loss: 1.641344]
[1] [26/167] time: 0:06:35.859195, [d_loss: 0.331814, g_loss: 1.735302]
[1] [27/167] time: 0:06:37.438848, [d_loss: 0.378372, g_loss: 1.752290]
[1] [28/167] time: 0:06:39.000834, [d_loss: 0.356248, g_loss: 1.632465]
[1] [29/167] time: 0:06:40.594763, [d_loss: 0.357864, g_loss: 1.716967]
[1] [30/167] time: 0:06:42.157295, [d_loss: 0.358931, g_loss: 1.635110]
[1] [31/167] time: 0:06:43.713204, [d_loss: 0.342512, g_loss: 1.680590]
[1] [32/167] time: 0:06:45.287053, [d_loss: 0.346662, g_loss: 1.634658]
[1] [33/167] time: 0:06:46.852280, [d_loss: 0.355823, g_loss: 1.575642]
[1] [34/167] time: 0:06:48.420657, [d_loss: 0.355884, g_loss: 1.584700]
[1] [35/167] time: 0:06:50.011967, [d_loss: 0.367632, g_loss: 1.679499]
[1] [36/167] time: 0:06:51.605923, [d_loss: 0.348985, g_loss: 1.908456]
[1] [37/167] time: 0:06:53.164777, [d_loss: 0.338452, g_loss: 1.539510]
[1] [38/167] time: 0:06:54.751437, [d_loss: 0.323196, g_loss: 1.551132]
[1] [39/167] time: 0:06:56.321875, [d_loss: 0.332061, g_loss: 1.636222]
[1] [40/167] time: 0:06:57.921041, [d_loss: 0.336348, g_loss: 1.706326]
[1] [41/167] time: 0:06:59.488559, [d_loss: 0.357255, g_loss: 1.559771]
[1] [42/167] time: 0:07:01.097785, [d_loss: 0.347900, g_loss: 1.962304]
[1] [43/167] time: 0:07:02.659531, [d_loss: 0.338142, g_loss: 1.714539]
[1] [44/167] time: 0:07:04.245174, [d_loss: 0.369534, g_loss: 1.649317]
[1] [45/167] time: 0:07:05.829489, [d_loss: 0.315601, g_loss: 1.722239]
[1] [46/167] time: 0:07:07.392530, [d_loss: 0.384354, g_loss: 1.705041]
[1] [47/167] time: 0:07:08.998079, [d_loss: 0.368721, g_loss: 1.797738]
[1] [48/167] time: 0:07:10.572192, [d_loss: 0.345797, g_loss: 1.712599]
[1] [49/167] time: 0:07:12.136318, [d_loss: 0.363748, g_loss: 1.769043]
[1] [50/167] time: 0:07:13.719886, [d_loss: 0.394856, g_loss: 1.508009]
[1] [51/167] time: 0:07:15.299413, [d_loss: 0.321917, g_loss: 1.541501]
[1] [52/167] time: 0:07:16.881076, [d_loss: 0.388390, g_loss: 1.721177]
[1] [53/167] time: 0:07:18.451736, [d_loss: 0.344474, g_loss: 1.607627]
[1] [54/167] time: 0:07:20.043453, [d_loss: 0.324097, g_loss: 1.697338]
[1] [55/167] time: 0:07:21.612904, [d_loss: 0.397985, g_loss: 1.550260]
[1] [56/167] time: 0:07:23.181437, [d_loss: 0.321202, g_loss: 1.730108]
[1] [57/167] time: 0:07:24.772719, [d_loss: 0.393734, g_loss: 1.552681]
[1] [58/167] time: 0:07:26.339898, [d_loss: 0.318337, g_loss: 1.657526]
[1] [59/167] time: 0:07:27.934935, [d_loss: 0.365078, g_loss: 1.741100]
[1] [60/167] time: 0:07:29.500707, [d_loss: 0.492986, g_loss: 1.285377]
[1] [61/167] time: 0:07:31.080910, [d_loss: 0.373799, g_loss: 1.683336]
[1] [62/167] time: 0:07:32.676167, [d_loss: 0.409604, g_loss: 1.457855]
[1] [63/167] time: 0:07:34.275121, [d_loss: 0.392325, g_loss: 1.555893]
[1] [64/167] time: 0:07:35.848839, [d_loss: 0.313715, g_loss: 1.708733]
[1] [65/167] time: 0:07:37.417643, [d_loss: 0.318295, g_loss: 1.672977]
[1] [66/167] time: 0:07:39.044222, [d_loss: 0.329889, g_loss: 1.624690]
[1] [67/167] time: 0:07:40.633137, [d_loss: 0.342326, g_loss: 1.622900]
[1] [68/167] time: 0:07:42.217710, [d_loss: 0.318229, g_loss: 1.907434]
[1] [69/167] time: 0:07:43.802716, [d_loss: 0.403294, g_loss: 1.789717]
[1] [70/167] time: 0:07:45.366389, [d_loss: 0.326516, g_loss: 1.574657]
[1] [71/167] time: 0:07:46.960012, [d_loss: 0.385758, g_loss: 1.871012]
